"year";"stage";"home_team";"away_team";"home_score";"away_score";"winner";"home_team_stats_score";"home_team_ranking";"away_team_stats_score";"away_team_ranking";"home_team_perform_hist";"away_team_perform_hist";"home_team_wc_perform";"away_team_wc_perform"
2014;"Group A";"Cameroon";"Croatia";0;4;"away_team";73,5625;558;76,8333333333333;903;0;1;0,2;0,461538461538462
2014;"Group B";"Spain";"Chile";0;2;"away_team";80,5652173913043;1485;72,6086956521739;1026;0,6;0,2;0,5;0,310344827586207
2014;"Group C";"Colombia";"Ivory Coast";2;1;"home_team";72,0234782608696;1137;72,7826086956522;NA;1;0;0,230769230769231;0,333333333333333
2014;"Group C";"Japan";"Greece";0;0;"draw";73,8461538461538;626;74,2272727272727;1064;0,5;0;0,285714285714286;0,166666666666667
2014;"Group D";"Uruguay";"England";2;1;"home_team";75,4347826086957;1147;78,304347826087;1090;0,5;0,5;0,382978723404255;0,440677966101695
2014;"Group E";"Honduras";"Ecuador";1;2;"away_team";67,2857142857143;731;70,0454545454545;791;0,222222222222222;0,333333333333333;0;0,428571428571429
2014;"Group D";"Italy";"Costa Rica";0;1;"away_team";78,3478260869565;1104;69,5882352941177;762;0;1;0,55;0,3
2014;"Group E";"Switzerland";"France";2;5;"away_team";75,7391304347826;1149;78,5454545454545;913;0;0,5;0,310344827586207;0,462962962962963
2014;"Group F";"Argentina";"IR Iran";1;0;"home_team";78,7708695652174;1175;68;641;1;0;0,528571428571429;0,111111111111111
2014;"Group G";"Germany";"Ghana";2;2;"draw";82,2755731225297;1300;71,65;704;0,5;0;0,648648648648649;0,444444444444444
2014;"Group F";"Nigeria";"Bosnia and Herzegovina";1;0;"home_team";71,3125;640;73,5263157894737;873;1;0;0,285714285714286;0
2014;"Group H";"Belgium";"Russia";1;0;"home_team";79,0909090909091;1074;74,8421052631579;893;1;0;0,277777777777778;0,333333333333333
2014;"Group H";"South Korea";"Algeria";2;4;"away_team";59,0434782608696;547;73,2777777777778;858;0;1;0,178571428571429;0,222222222222222
2014;"Group G";"USA";"Portugal";2;2;"draw";72,4782608695652;1035;78,6939130434783;1189;0,5;0;0,241379310344828;0,521739130434783
2014;"Group B";"Australia";"Spain";0;3;"away_team";68,9565217391304;526;80,5652173913043;1485;0;1;0,2;0,5
2014;"Group A";"Brazil";"Cameroon";4;1;"home_team";76,2052173913043;1242;73,5625;558;0,666666666666667;0,333333333333333;0,690721649484536;0,2
2014;"Group A";"Croatia";"Mexico";1;3;"away_team";76,8333333333333;903;70,304347826087;882;0,333333333333333;0,666666666666667;0,461538461538462;0,244897959183673
2014;"Group B";"Netherlands";"Chile";2;0;"home_team";79,1869565217391;981;72,6086956521739;1026;1;0;0,511627906976744;0,310344827586207
2014;"Group D";"Costa Rica";"England";0;0;"draw";69,5882352941177;762;78,304347826087;1090;0;0;0,3;0,440677966101695
2014;"Group C";"Greece";"Ivory Coast";2;1;"home_team";74,2272727272727;1064;72,7826086956522;NA;1;0;0,166666666666667;0,333333333333333
2014;"Group D";"Italy";"Uruguay";0;1;"away_team";78,3478260869565;1104;75,4347826086957;1147;0;0,5;0,55;0,382978723404255
2014;"Group C";"Japan";"Colombia";1;4;"away_team";73,8461538461538;626;72,0234782608696;1137;0;0,666666666666667;0,285714285714286;0,230769230769231
2014;"Group F";"Bosnia and Herzegovina";"IR Iran";3;1;"home_team";73,5263157894737;873;68;641;0,166666666666667;0,666666666666667;0;0,111111111111111
2014;"Group E";"Ecuador";"France";0;0;"draw";70,0454545454545;791;78,5454545454545;913;0;0,5;0,428571428571429;0,462962962962963
2014;"Group E";"Honduras";"Switzerland";0;3;"away_team";67,2857142857143;731;75,7391304347826;1149;0;0,5;0;0,310344827586207
2014;"Group F";"Nigeria";"Argentina";2;3;"away_team";71,3125;640;78,7708695652174;1175;0,2;0,8;0,285714285714286;0,528571428571429
2014;"Group H";"Algeria";"Russia";1;1;"draw";73,2777777777778;858;74,8421052631579;893;0;0;0,222222222222222;0,333333333333333
2014;"Group H";"South Korea";"Belgium";0;1;"away_team";59,0434782608696;547;79,0909090909091;1074;0;0,666666666666667;0,178571428571429;0,277777777777778
2014;"Group G";"Portugal";"Ghana";2;1;"home_team";78,6939130434783;1189;71,65;704;1;0;0,521739130434783;0,444444444444444
2014;"Group G";"USA";"Germany";0;1;"away_team";72,4782608695652;1035;82,2755731225297;1300;0,375;0,625;0,241379310344828;0,648648648648649
2014;"Round of 16";"Brazil";"Chile";1;1;"draw";76,2052173913043;1242;72,6086956521739;1026;0,75;0,0625;0,690721649484536;0,310344827586207
2014;"Round of 16";"Colombia";"Uruguay";2;0;"home_team";72,0234782608696;1137;75,4347826086957;1147;0,384615384615385;0,461538461538462;0,230769230769231;0,382978723404255
2014;"Round of 16";"Costa Rica";"Greece";1;1;"draw";69,5882352941177;762;74,2272727272727;1064;0;0;0,3;0,166666666666667
2014;"Round of 16";"Netherlands";"Mexico";2;1;"home_team";79,1869565217391;981;70,304347826087;882;0,666666666666667;0,166666666666667;0,511627906976744;0,244897959183673
2014;"Round of 16";"France";"Nigeria";2;0;"home_team";78,5454545454545;913;71,3125;640;0,5;0,5;0,462962962962963;0,285714285714286
